tanggal,periode,teks_bersih,sentimen,likes,retweet,username
2024-09-20 00:00:41,sebelum,susu ikan jadi alternatif susu sapi program prabowo gibran food jelas butuh kaji susuikan susu prabowogibran idfood connecid,negatif,2,0,Connecofficial_
2024-09-20 00:01:49,sebelum,usia bohong memang pendek entah apa jadi waktu dekat jelas manusia kutik lawan semesta masuk solusi paling ampuh segera mohon ampun minta maaf rakyat,negatif,2,1,halohohenrykus
2024-09-20 00:03:00,sebelum,compressor kalau rationya gede misal fungsi kayak limiter ratio nya lebih gede ketimbang compressor limiter bunyi lebih nyekek gencet ketimbang compressor,negatif,4,0,blinkerss
2024-09-20 00:05:13,sebelum,fakmen prabowo sandi punya temen,positif,2,0,bndhour
2024-09-20 00:12:19,sebelum,jokowi tak ikan kuasa prabowo ambil bijak,negatif,6,7,OposisiCerdas
2024-09-20 00:13:51,sebelum,profesor mahfud debat gibran ketua bem ugm semester lom lulus,positif,7,0,tekarok007
2024-09-20 00:18:18,sebelum,kena bocah semua ubah oktober makin plonga plongo nich,negatif,4,0,YudhaNaren78184
2024-09-20 00:18:25,sebelum,jiahaha tolol bawa bawa emak orang pas pulih akun pesan kirim nomor punya akun betul nomor gibran malah bawa bawa anis ganjar dongo,negatif,17,1,Dre_Dyandra
2024-09-20 00:30:06,sebelum,jokowiiii lama rasa tgl oktober,negatif,5,1,DamaiHariLubis
2024-09-20 00:33:49,sebelum,nambah satu kerja kominfo,positif,2,0,stengah8kurang3
2024-09-20 00:41:47,sebelum,total suara warga nyoblos seluruh dpt nyoblos engga nyoblos soal kalau dateng semua hitung total suara jadi total suara dpt jumlah suara total tetep mayoritas pilih prabowo gibran,negatif,2,1,Frandiazzerd
2024-09-20 00:43:49,sebelum,kalau fufufafa bukan gibran hari ketangkep,negatif,10,0,hadi_khansa1
2024-09-20 00:45:25,sebelum,akun gopay nya verifikasi centang biru arti laku verifikasi wajah ktp kalau transfer gopay via virtual account muncul nama sesuai identitas verifikasi jadi jelas ktp milik atas nama gibran,negatif,6,0,kiqi01
2024-09-20 00:48:34,sebelum,sulit harap lapor salah satu celah postingan aroma nista agama sbb masyarakat umum lapor soal siapa berani lapor,negatif,1,0,Jhonkosmik
2024-09-20 00:53:25,sebelum,fufufafa masuk syarat akun anonim akun alter postingan pertama akun ngaku diri akun gibran jadi masuk akun asli lucu malah buat bacod suka akun palsu kerjaanya buat rusak image milik nama aku,negatif,5,0,tekarok007
2024-09-20 01:00:00,sebelum,bilang keti fufufafa beda jauh sama gibran ngeles fufufafa akun anonim lah fufufafa postingan pertama ngaku gibran loh jadi bilang akun anonim ngaku siapa keti jauh beda ama gibran arti fufufafa gibran palsu,negatif,4,1,tekarok007
2024-09-20 01:00:05,sebelum,prabowo usai temu sby optimistis wujud sejahtera rakyat,positif,42,16,CNNIndonesia
2024-09-20 01:00:37,sebelum,jokowi gibran hancur sutoyo abadi hati hati baik hancur lebih hancur artikel jokowi gibran hancur pertama kali tampil semut ibrahim mediatama,positif,2,1,SangLangit01
2024-09-20 01:03:24,sebelum,jelang lantik presiden pilih prabowo subianto kunjung sby naik lexus hitam kertanegara bahas apa presiden enam republik indonesia susilo bambang yudhoyono sby unjung diam presiden pilih prabowo subianto,positif,10,0,tvOneNews
2024-09-20 01:03:55,sebelum,usia bohong memang pendek entah apa jadi waktu dekat jelas manusia kutik lawan semesta masuk solusi paling ampuh segera mohon ampun minta maaf rakyat,negatif,0,0,halohohenrykus
2024-09-20 01:22:00,sebelum,tak bantah coba transfer saldo gopay nomor akun fufufafa muncul nama gibran,negatif,468,280,geloraco
2024-09-20 01:22:52,sebelum,lah jalan benar mau tunggu same kapan sampe hutan babat habis pulau kecil halmahera tenggelam krna aktifitas tambang nikel apa sampe tunggu menantu jokowi sangka korupasi sampe komesialisasi didik realisasi buka mata hati,negatif,9,1,sy41fullah
2024-09-20 01:24:25,sebelum,sila korupsi apbn apbd presiden gemoy rekam jejak food estate alutista kena hacker rakyat kamis selamat moga rakyat indonesia sengsara lanjut episode sila qta lebih hormat wibawa sama ubah indonesia tanah air,negatif,3,1,HagobragDhan
2024-09-20 01:26:35,sebelum,dukung rawan jagat prabowo ridwan kamil haru program menang rido,positif,0,0,okezonenews
2024-09-20 01:26:53,sebelum,gratifikasi kaesang seret gibran jokowi penjara,negatif,4,1,BeritakanID_com
2024-09-20 02:02:44,sebelum,prabowo minta bubar menteri bumn singgung gagas anies imin pilpres,negatif,0,0,MSNindonesia
2024-09-20 02:20:24,sebelum,awokawok cobaa dri menangin prabowo gaes mungkin bakal gibran kaesang sby langsung prabowo kyanya kualitas jauh beda tpi smenjak kalah kali dri mulyono cemar mulyono benar ubah orang prabowo bahkan sby,negatif,69,5,muhamadrdani
2024-09-20 02:47:28,sebelum,mohon pak presiden pilih obat sedih tengah himpitan ekonomi akibat rakus beri ganjar rusak negara sedikit terenyum dng harap tega sedikit adil rakyat kecil terdzholimi thn,negatif,47,0,un_dreilukas
2024-09-20 02:55:27,sebelum,bahasa orang gibran fufufafa kamu tiba tiba nongol munculin nama pak anies kamu ngotot bahlul,negatif,2,0,ketikanmutuh
2024-09-20 03:45:23,sebelum,nomor akun fufufafa nama gibran gopay ovo,netral,10,0,mydarwinunez
2024-09-20 04:03:15,sebelum,partai demokrat bongkar isi temu sby prabowo subianto nyata soal tantang koordinator juru bicara dpp partai demokrat herzaky mahendra putra ungkap isi temu presiden susilo bambang yudhoyono sby prabowo,negatif,2,1,tvOneNews
2024-09-20 04:10:15,sebelum,rapat pimpin nasional pks gelar tutup prabowo tak jadi hadir,negatif,40,6,alisyarief
