no,tanggal,teks_asli,label_lexicon,skor_lexicon,label_manual_1,label_manual_2,label_manual_3
1,2024-10-29 21:15:54,"Wakil Presiden Gibran Rakabuming Raka akan menjadi kepala negara RI, menggantikan Presiden Prabowo Subianto pada pekan depan. Tugas ini diemban Gibran sementara selama agenda lawatan Prabowo ke luar negeri.
.
Diketahui, Presiden Prabowo bakal diagendakan menjalani lawatan internasional perdana sebagai RI1. Hal itu dikonfirmasi Menteri Sekretaris Negara (Mensesneg), Prasetyo Hadi.
.
Ia mengatakan, Prabowo sudah mendapat sejumlah undangan dari beberapa agenda internasional yang dimaksud. Di antaranya ada Asia Pacific Economic Cooperation (APEC), hingga Konferensi Tingkat Tinggi (KTT) G20.
.
“Ada undangan, ada G20, ada APEC, sebagai kepala negara ya pasti beliau kan harus hadir,” kata Pras, di Kompleks Istana Kepresidenan Jakarta, Selasa, 29 Oktober 2024.
.
Ia menjelaskan bahwa ketika Prabowo melakukan kunjungan ke luar negeri, Wakil Presiden Gibran Rakabuming Raka akan menjabat sebagai Pelaksana Tugas (Plt) Presiden.
.
Siti Aisah Nurhalida Musthafa/PRMN
.
Selengkapnya cek link https://t.co/J3uNrbltxE
.
#gibran #prabowo #presiden #prmn",positif,14.0,,,
2,2024-10-16 17:13:07,"Mayor Teddy, Sang Pembawa Pesan dan Penjaga Pintu Prabowo #Shorts https://t.co/23sBjdimmI",negatif,-4.0,,,
3,2024-10-24 19:25:11,"Kebinet Prabowo disorot banyak kalangan karena dinilai tumpang tindih, lapisan struktur birokrasi bertambah, dan berpotensi menguras anggaran negara. https://t.co/SUHQJRgUgp",positif,10.0,,,
4,2024-11-11 19:59:08,"@Pricillariskha Aku padaMu mba 🤜🤛
Jangan dngrin mereka, udah kayak mereka pda benar aja. Pasti yang bnyak komnnya dan bacotnya orng2 yang benci sma Gibran Hahahaa Lucu.",negatif,-8.0,,,
5,2024-10-21 18:25:15,"Tabikpun!
Salam dari Bumi Lampung🙏🏻

BSIP Lampung mengucapkan Selamat atas dilantiknya Menteri Pertanian dan Wakil Menteri Pertanian Republik Indonesia (Andi Amran Sulaiman dan Sudaryono),  Kabinet Merah Putih periode 2024-2029. Majulah Pertanian Indonesia! 🇮🇩✊🏼 https://t.co/aaVhnYepUQ",negatif,-4.0,,,
6,2024-10-18 18:55:12,@randika97165300 @BosPurwa @prabowo Eksploitasi para bodoh dgn cara PEMBODOHAN....klop!,netral,0.0,,,
7,2024-10-18 20:34:45,Kepala BRIN sebut riset dan inovasi jadi perhatian penting Prabowo https://t.co/nHW9nQKiT3,positif,2.0,,,
8,2024-10-11 08:59:48,"@pandji Pak Prabowo 100% benar mengenai besarnya negara. Tetapi, beliyau sepertinya tidak jujur menjadikannya sebagai alasan. Please be honest.",negatif,-4.0,,,
9,2024-10-26 20:53:16,"Rencana fufufafa 
Jangan kasih pak @prabowo https://t.co/lAGFfPtYge",negatif,-4.0,,,
10,2024-10-19 23:09:39,"PM Anwar dan Prabowo adakan pertemuan empat mata 

https://t.co/DTwq5NA1fn

#BernamaNews 
#TaatSetia https://t.co/fFxS461av8",netral,0.0,,,
11,2024-10-28 09:01:50,"@DokterTifa @prabowo Dokter GEMBLUNG, banayak BACOT, obrolanmu tdk laku dihual",negatif,-4.0,,,
12,2024-10-16 22:47:05,Profil Menkominfo Budi Arie Setiadi yang Masuk dalam Calon Wamen Kabinet Prabowo Subianto https://t.co/eRo5FdCYrT #beritasatu #news #berita,negatif,-10.0,,,
13,2024-10-07 12:33:04,"@maharmega @tekarok007 @ruben265293718 Sbenernya udah biasa sih..

Budiono

Ma'ruf...

Coba kita lihat, nanti Gibran bisa jadi kayak JK apa endak",negatif,-5.0,,,
14,2024-10-02 20:51:38,"@2BasileaTheoph Tapi denger"" malah prabowo bersedia ke tengku umar, tapi puan yang gaenak sama prabowo wkwk",negatif,-5.0,,,
15,2024-10-20 11:48:54,"Selamat untuk Pak @prabowo atas pelantikannya sebagai presiden RI 2024-2029. Meski tidak memilih bapak di Pemilu 2024, saya adalah pendukung Bapak di 2014 dan 2019. Tak ada manusia sempurna. Tapi saya percaya, Bapak bisa membawa Indonesia ke arah yang lebih baik.",positif,10.0,,,
16,2024-10-27 17:45:26,"Rahayu Saraswati Djojohadikusumo anggota DPR-RI dari Gerindra dan juga keponakan dari Presiden Prabowo Subianto bicara tentang Rudi Soik yg dipecat.
-
Bagaimana menurut pendapat Netizen ? https://t.co/PeV29WUoAs",negatif,-3.0,,,
